Entity,Code,Year,"GDP per capita, PPP (constant 2011 international $)",Life satisfaction in Cantril Ladder (World Happiness Report 2019)
Solomon Islands,SLB,2017,2205.92320480796,
Antigua and Barbuda,ATG,2017,21490.9426586166,
Kiribati,KIR,2017,1981.13186864146,
Barbados,BRB,2017,16978.0676859393,
Guinea-Bissau,GNB,2017,1548.67470304471,
World,OWID_WRL,2017,15469.2072359318,
Maldives,MDV,2017,15183.6163982888,
Comoros,COM,2017,1413.890036328,
Suriname,SUR,2017,13767.1185111168,
Grenada,GRD,2017,13593.8769176008,
Palau,PLW,2017,13240.4048103124,
Saint Lucia,LCA,2017,12951.8388772691,
Nauru,NRU,2017,12895.6345072345,
Qatar,QAT,2017,116935.600359799,
Saint Vincent and the Grenadines,VCT,2017,10727.146072995,
Macao,MAC,2017,104861.851096529,
